index,date,north,east,individ,gender
SEP0157988,2020-10-16,7079663,650992,BI406714,Hona
SEP0157990,2020-09-25,7062636,676067,NRM_632,Hona
SEP0157992,2020-10-05,7062758,660804,BI406583,Hona
SEP0157998,2020-09-10,7050005,684790,BI407186,Hane
SEP0157999,2020-10-08,7047391,670094,NRM_873,Hona
SEP0158300,2020-09-30,7058785,673318,BI407186,Hane
SEP0158302,2020-10-17,7081533,659343,BI406714,Hona
SEP0158306,2020-10-02,7031797,624992,BI406570,Hane
SEP0158315,2020-10-03,7031762,624994,NRM_634,Hona
SEP0158319,2020-09-27,7057153,686948,NRM_988,Hona
SEP0158323,2020-10-12,6958793,598246,NRM_771,Hona
SEP0158335,2020-10-10,6966334,589912,NRM_1102,Hane
SEP0158347,2020-10-24,7080550,662557,NRM_702,Hane
SEP0158349,2020-10-17,7081276,659573,NRM_727,Hane
SEP0158351,2020-09-22,6986555,651290,BI406629,Hona
SEP0158353,2020-09-27,7044212,639344,NRM_636,Hane
SEP0158354,2020-10-31,7070392,663741,NRM_1036,Hona
SEP0158361,2020-10-30,7070463,662801,NRM_1553,Hane
SEP0158389,2020-10-08,7032445,625028,NRM_634,Hona
SEP0158424,2020-10-06,7074854,635339,NRM_768,Hona
SEP0158460,2020-10-18,7061754,688268,NRM_963,Hona
SEP0158505,2020-10-15,7056403,679005,BI406730,Hona
SEP0158523,2020-10-20,7064965,683316,NRM_977,Hane
SEP0158588,2020-10-15,7064527,672787,BI407186,Hane
SEP0158612,2020-10-10,6961378,602248,NRM_1108,Hona
SEP0158615,2020-09-26,6952849,590998,NRM_660,Hane
SEP0158616,2020-09-13,6949216,593278,NRM_965,Hona
SEP0158621,2020-10-15,7038096,570196,NRM_846,Hona
SEP0158623,2020-09-12,7031953,564115,BI407001,Hona
SEP0158625,2020-09-10,7042685,568760,BI040898,Hona
SEP0158626,2020-08-28,7053749,553404,NRM_765,Hane
SEP0158631,2020-10-08,7032445,625028,NRM_634,Hona
SEP0158659,2020-10-03,6956888,578461,NRM_703,Hane
SEP0158661,2020-09-10,6967599,579203,BI041489,Hane
SEP0158666,2020-10-08,6973158,591421,NRM_1102,Hane
SEP0158687,2020-09-29,7085489,665407,NRM_654,Hane
SEP0158759,2020-10-15,7063569,657267,NRM_1059,Hane
SEP0158896,2020-08-22,7042128,609394,NRM_1454,Hona
SEP0158925,2020-09-09,6973794,622091,NRM_780,Hona
SEP0159001,2020-09-20,6958154,587815,NRM_1262,Hona
SEP0159003,2020-09-15,6956608,578564,NRM_703,Hane
SEP0159005,2020-09-19,6903612,567448,BI080391,Hona
SEP0159014,2020-09-12,6966027,571077,BI406559,Hane
SEP0159043,2020-09-09,6931894,603991,NRM_781,Hane
SEP0159048,2020-08-28,6904770,564499,NRM_1297,Hona
SEP0159056,2020-08-23,6941903,599084,NRM_781,Hane
SEP0159060,2020-08-31,6958014,600962,NRM_771,Hona
SEP0159067,2020-09-15,7063975,555678,BI407055,Hane
SEP0159079,2020-09-11,6936482,615229,NRM_1057,Hane
SEP0159082,2020-09-13,7061043,551307,NRM_765,Hane
SEP0159086,2020-09-06,7053546,575349,BI406500,Hona
SEP0159088,2020-09-18,7031669,578629,NRM_745,Hane
SEP0159089,2020-08-26,7053321,581286,NRM_910,Hona
SEP0159091,2020-09-19,7064313,558856,NRM_1282,Hona
SEP0159097,2020-09-18,7056037,564154,NRM_765,Hane
SEP0159702,2020-09-27,7022903,630829,NRM_1338,Hona
SEP0159811,2020-09-13,6994657,624814,NRM_1179,Hona
SEP0159812,2020-08-30,6983342,625073,NRM_865,Hona
SEP0159852,2020-09-07,6985289,630504,NRM_691,Hane
SEP0159857,2020-09-10,6973342,641202,NRM_911,Hane
SEP0159889,2020-08-31,6984242,625157,NRM_865,Hona
SEP0160187,2020-09-25,6960575,600978,NRM_771,Hona
SEP0160205,2020-09-20,7048909,595593,BI414855,Hane
SEP0160231,2020-10-17,7047681,595413,BI414855,Hane
SEP0160236,2020-10-05,7049653,599869,BI406696,Hona
SEP0160237,2020-09-12,7038877,605414,BI406858,Hane
SEP0160240,2020-09-26,7039952,605738,NRM_819,Hona
SEP0160354,2020-09-01,7022025,602802,NRM_773,Hane
SEP0160372,2020-10-17,7049625,592635,NRM_912,Hona
SEP0160378,2020-08-24,7044199,613829,BI406692,Hane
SEP0160517,2020-09-07,6975119,616072,NRM_883,Hona
SEP0160521,2020-09-25,6946301,610406,NRM_1057,Hane
SEP0160540,2020-09-19,6944246,613477,NRM_1057,Hane
SEP0160542,2020-09-22,6958470,614265,NRM_1255,Hane
SEP0160546,2020-09-21,7047909,596954,BI406576,Hona
SEP0160556,2020-08-27,7024947,631070,NRM_1032,Hane
SEP0160803,2020-09-10,7054023,672892,NRM_1094,Hane
SEP0160805,2020-09-19,7070681,670768,NRM_1239,Hona
SEP0160826,2020-10-17,6995841,648179,BI406629,Hona
SEP0160844,2020-09-13,7035257,580575,NRM_1218,Hane
SEP0160943,2020-09-12,7033804,578556,NRM_1218,Hane
SEP0160952,2020-09-11,7038875,586953,NRM_912,Hona
SEP0161185,2020-09-09,7045656,596451,NRM_782,Hane
SEP0161201,2020-09-15,7044559,575835,NRM_992,Hona
SEP0161239,2020-09-12,7049508,584855,NRM_992,Hona
SEP0161248,2020-09-13,7023581,604469,BI414855,Hane
SEP0161303,2020-09-09,7047596,593436,BI414855,Hane
SEP0161305,2020-09-11,7046819,593559,NRM_956,Hane
SEP0161313,2020-09-11,7042532,600045,BI080515,Hane
SEP0161322,2020-10-15,7038857,609945,BI080515,Hane
SEP0161323,2020-10-10,7047322,617496,NRM_634,Hona
SEP0161330,2020-09-23,7037726,606710,NRM_1200,Hane
SEP0161340,2020-10-17,7048706,592845,BI414855,Hane
SEP0161345,2020-10-17,7048695,592851,BI414855,Hane
SEP0161354,2020-10-16,7037596,589316,BI414855,Hane
SEP0161362,2020-09-11,7043608,598536,NRM_819,Hona
SEP0161365,2020-09-14,7050624,587776,NRM_1355,Hona
SEP0161382,2020-10-02,7038366,605145,BI406692,Hane
SEP0161395,2020-09-10,7047359,617037,BI406692,Hane
SEP0161446,2020-09-13,7045940,593320,BI414855,Hane
SEP0161450,2020-08-25,6956849,615955,NRM_1255,Hane
SEP0161493,2020-08-26,6957640,620330,NRM_771,Hona
SEP0161521,2020-09-17,7013487,634245,BI406701,Hane
