index,date,north,east,individ,gender
SEP0188073,2020-08-22,6866156,437951,NRM_1487,Hane
SEP0188083,2020-09-13,6864341,425758,NRM_628,Hona
SEP0188089,2020-09-11,6860748,424263,NRM_961,Hona
SEP0188093,2020-08-21,6844164,436462,BI407082,Hane
SEP0188204,2020-09-10,7042297,556791,BI407248,Hane
SEP0188206,2020-10-18,7069090,581678,NRM_823,Hona
SEP0188208,2020-10-20,7010175,617798,BI406670,Hona
SEP0188209,2020-09-04,7135589,507610,BI406990,Hona
SEP0188217,2020-09-17,7048136,556112,BI406645,Hona
SEP0188219,2020-09-25,7017212,604329,NRM_750,Hane
SEP0188232,2020-09-29,7076583,580931,NRM_713,Hane
SEP0188242,2020-09-03,7050372,617437,BI406620,Hona
SEP0188250,2020-09-08,7049828,617058,BI406692,Hane
SEP0188253,2020-09-07,7048624,558270,BI407248,Hane
SEP0188255,2020-08-21,6873255,421788,NRM_941,Hona
SEP0188257,2020-08-21,6877304,413534,NRM_944,Hona
SEP0188261,2020-09-12,7082551,598187,BI406494,Hona
SEP0188265,2020-09-27,7051877,619655,BI406620,Hona
SEP0188267,2020-09-01,7010870,604572,NRM_750,Hane
SEP0188269,2020-09-20,7050037,617184,BI406620,Hona
SEP0188272,2020-09-08,7015941,598086,NRM_773,Hane
SEP0188275,2020-09-12,7040730,583297,NRM_1302,Hane
SEP0188280,2020-09-18,7047422,586945,NRM_662,Hane
SEP0188281,2020-09-09,6873967,426724,NRM_1443,Hane
SEP0188282,2020-09-19,7050073,587947,NRM_1355,Hona
SEP0188284,2020-09-18,7031877,524988,NRM_830,Hane
SEP0188286,2020-09-24,7052637,587187,NRM_1355,Hona
SEP0188287,2020-09-26,7081578,597125,BI406494,Hona
SEP0188289,2020-10-01,6982903,495492,NRM_663,Hona
SEP0188299,2020-10-12,7083578,587354,NRM_1125,Hona
SEP0188300,2020-09-08,7087494,464572,NRM_1270,Hane
SEP0188308,2020-08-23,7021007,485196,NRM_869,Hane
SEP0188311,2020-09-14,7011777,489894,NRM_881,Hane
SEP0188313,2020-09-12,7063660,488274,NRM_942,Hane
SEP0188314,2020-09-04,7022495,483315,NRM_869,Hane
SEP0188324,2020-09-02,7054804,478711,BI407301,Hona
SEP0188340,2020-09-01,7045715,460677,BI406897,Hane
SEP0188347,2020-08-31,7076685,496640,NRM_2045,Hona
SEP0188352,2020-09-28,7077708,481954,BI407257,Hane
SEP0188365,2020-09-09,7090889,462042,NRM_1270,Hane
SEP0188369,2020-09-07,7044281,491414,NRM_886,Hona
SEP0188370,2020-08-24,7045027,489523,NRM_886,Hona
SEP0188372,2020-09-12,7063564,486433,NRM_942,Hane
SEP0188374,2020-10-02,7059212,476143,NRM_664,Hona
SEP0188385,2020-09-26,7076550,480644,BI407257,Hane
SEP0188386,2020-08-23,7064216,477441,BI407301,Hona
SEP0188396,2020-10-01,7048280,479284,BI406897,Hane
SEP0188406,2020-09-07,6869774,505543,BI409177,Hona
SEP0188408,2020-09-12,6931995,479570,NRM_1180,Hona
SEP0188415,2020-09-09,6871094,504615,NRM_1320,Hona
SEP0188421,2020-09-18,6920093,469416,BI406930,Hona
SEP0188435,2020-09-10,6933394,483584,BI409244,Hane
SEP0188441,2020-09-08,6925384,469853,BI409244,Hane
SEP0188447,2020-09-12,6946283,472018,BI407184,Hona
SEP0188452,2020-10-16,6931494,491736,BI406845,Hane
SEP0188453,2020-09-27,6841203,429036,NRM_751,Hona
SEP0188457,2020-10-03,6875022,505574,NRM_718,Hona
SEP0188471,2020-10-16,6886472,494679,BI041122,Hona
SEP0188473,2020-09-02,6912366,480925,NRM_1648,Okänt
SEP0188483,2020-08-28,6921957,462284,NRM_887,Hane
SEP0188486,2020-10-05,6912205,473612,BI407239,Hona
SEP0188496,2020-09-25,6911667,470437,BI406859,Hona
SEP0188535,2020-09-14,7032456,438295,NRM_785,Hane
SEP0188537,2020-10-16,7051647,463844,NRM_847,Hane
SEP0188574,2020-09-14,7032498,438277,NRM_785,Hane
SEP0188601,2020-09-03,7101545,555127,NRM_1287,Hona
SEP0188602,2020-09-19,7098799,549856,NRM_1287,Hona
SEP0188604,2020-10-01,7075461,560236,NRM_665,Hona
SEP0188610,2020-09-26,7116968,544424,NRM_752,Hona
SEP0188612,2020-09-11,7123343,535215,BI407181,Hona
SEP0188614,2020-10-17,7102170,572447,NRM_1564,Hane
SEP0188616,2020-08-25,7088670,572786,NRM_1080,Hona
SEP0188617,2020-09-14,7127729,543946,BI406931,Hona
SEP0188618,2020-09-08,7121261,537447,NRM_1418,Hane
SEP0188620,2020-09-20,7141625,528110,BI406782,Hona
SEP0188621,2020-08-23,7129465,549058,NRM_1484,Hona
SEP0188622,2020-08-25,7101071,556667,BI041291,Hona
SEP0188626,2020-09-06,7088902,560911,NRM_924,Hane
SEP0188630,2020-09-21,7136852,527618,BI407191,Hona
SEP0188638,2020-08-21,7099980,555168,NRM_618,Hona
SEP0188639,2020-08-25,7115663,565416,BI414968,Okänt
SEP0188640,2020-09-20,7124726,557928,BI414910,Hona
SEP0188641,2020-09-15,7089312,577557,BI406654,Hona
SEP0188642,2020-09-19,7096908,554356,BI406786,Hona
SEP0188643,2020-09-13,7100336,548992,NRM_1431,Hane
SEP0188645,2020-09-19,7114650,552344,NRM_1447,Hane
SEP0188647,2020-09-04,7060298,566284,NRM_1080,Hona
SEP0188655,2020-09-18,7136475,545042,BI406895,Hane
SEP0188657,2020-10-17,7116172,550548,BI406931,Hona
SEP0188665,2020-08-22,7129458,548938,NRM_1484,Hona
SEP0188669,2020-09-06,7128569,547389,BI406895,Hane
SEP0188672,2020-08-23,7090310,575751,BI407212,Hona
SEP0188673,2020-08-24,7089454,575637,BI407212,Hona
SEP0188674,2020-09-16,7111511,553900,NRM_674,Hona
SEP0188676,2020-08-24,7114484,554435,NRM_1488,Hane
SEP0188677,2020-08-23,7130350,547363,NRM_1456,Hane
SEP0188681,2020-08-21,7123240,550766,NRM_1456,Hane
SEP0188684,2020-10-12,6914875,492753,BI407094,Hona
SEP0188685,2020-10-12,6913765,492246,NRM_646,Hane
SEP0188686,2020-10-07,6912496,511794,NRM_1098,Hane
SEP0188689,2020-10-17,6911314,504619,BI080318,Hane
SEP0188691,2020-09-15,6882464,497700,BI407075,Hona
SEP0188692,2020-09-05,6905784,503505,BI407017,Hona
SEP0188693,2020-09-27,6910124,503546,NRM_1429,Hane
SEP0188694,2020-09-08,6914866,486607,BI407094,Hona
SEP0188695,2020-09-17,6908883,501101,NRM_917,Hona
SEP0188696,2020-09-16,6890030,516688,BI406628,Hane
SEP0188698,2020-09-10,6920795,486009,NRM_1419,Hona
SEP0188699,2020-09-08,6913036,487453,BI407094,Hona
SEP0188700,2020-09-15,7061001,487610,NRM_942,Hane
SEP0188703,2020-09-14,7054774,478734,BI407301,Hona
SEP0188724,2020-08-24,7066735,477076,NRM_1540,Hane
SEP0188737,2020-09-21,7076358,475948,NRM_1449,Hane
SEP0188742,2020-10-03,7061772,482236,NRM_664,Hona
SEP0188750,2020-08-22,7074585,465366,BI407351,Hona
SEP0188765,2020-09-13,7075513,467127,BI407351,Hona
SEP0188795,2020-09-06,7056115,477178,BI406897,Hane
SEP0188797,2020-10-17,7095596,482837,NRM_1062,Hane
SEP0188806,2020-09-09,7156664,515935,BI406861,Hona
SEP0188815,2020-08-21,7126722,512258,NRM_891,Hona
SEP0188819,2020-09-13,7084415,499518,NRM_744,Hona
SEP0188821,2020-08-25,7126654,515561,NRM_1279,Hona
SEP0188823,2020-09-17,7063116,544608,NRM_765,Hane
SEP0188824,2020-08-25,7084360,498158,NRM_744,Hona
SEP0188840,2020-08-21,7110480,544557,BI406941,Hona
SEP0188849,2020-09-16,7042514,542715,NRM_1243,Hane
SEP0188853,2020-09-26,7144175,509337,NRM_1432,Hona
SEP0188854,2020-10-03,7064298,545864,NRM_1145,Hane
SEP0188868,2020-08-21,7083081,537802,NRM_619,Hona
SEP0188870,2020-10-16,7076522,544293,NRM_1063,Hona
SEP0188874,2020-09-07,7067962,573835,BI406949,Hane
SEP0188879,2020-09-08,7082227,552657,BI040996,Hona
SEP0188881,2020-09-21,7087624,533752,NRM_1244,Hona
SEP0188882,2020-09-08,7135681,507503,BI406990,Hona
SEP0188883,2020-09-08,7081827,552378,BI040996,Hona
SEP0188886,2020-10-15,7073660,544553,NRM_1064,Hona
SEP0188888,2020-08-26,7049482,541006,NRM_726,Hane
SEP0188894,2020-09-14,7094790,571153,NRM_1636,Hane
SEP0188898,2020-08-21,7082988,537928,BI407323,Hona
SEP0188899,2020-08-23,7046466,525058,NRM_620,Hane
SEP0188901,2020-09-02,6983453,546011,BI407302,Hona
SEP0188903,2020-09-23,7056604,529651,NRM_970,Hona
SEP0188908,2020-09-15,7073124,642574,NRM_768,Hona
SEP0188913,2020-09-20,6987260,507326,NRM_1143,Hane
SEP0188916,2020-09-30,7054516,523577,BI407209,Hona
SEP0188918,2020-10-28,7055413,526096,BI407209,Hona
SEP0188928,2020-09-14,7060182,497929,NRM_907,Hona
SEP0188933,2020-09-09,7056816,525839,NRM_1170,Hane
SEP0188934,2020-09-09,7055909,524859,NRM_792,Hane
SEP0188939,2020-09-28,7055423,521244,BI407209,Hona
SEP0188940,2020-09-13,7076713,469884,BI407351,Hona
SEP0188941,2020-09-09,7046527,525001,BI406893,Hane
SEP0188944,2020-09-20,7077981,489887,BI407257,Hane
SEP0188946,2020-09-15,7010616,510265,NRM_741,Hane
SEP0188948,2020-09-15,7063552,496843,NRM_1081,Hona
SEP0188954,2020-09-06,7036720,516759,NRM_1368,Hona
SEP0188957,2020-09-26,7063385,494993,BI406962,Hane
SEP0188959,2020-09-15,7067470,481905,NRM_664,Hona
SEP0188961,2020-09-05,7075938,475019,NRM_867,Hona
SEP0188966,2020-09-04,6991291,504233,NRM_1169,Hane
SEP0188969,2020-09-10,6987264,506779,NRM_1169,Hane
SEP0188970,2020-10-03,6976657,555421,NRM_1123,Hane
SEP0188974,2020-09-16,7081094,492758,NRM_936,Hona
SEP0188975,2020-09-18,7063858,496793,BI406962,Hane
SEP0188976,2020-09-04,6995543,503265,BI407205,Hane
SEP0188979,2020-09-13,7059918,492900,NRM_1081,Hona
SEP0188980,2020-09-20,7063609,496851,BI406962,Hane
SEP0188982,2020-09-12,7101490,496685,BI407149,Hona
SEP0188984,2020-09-15,7067287,489888,NRM_907,Hona
SEP0188986,2020-09-11,7046733,526049,BI041493,Hane
SEP0188987,2020-09-20,7054229,526417,BI407148,Hona
SEP0188989,2020-09-11,7064778,495494,BI406928,Hona
SEP0188992,2020-09-10,7058465,496584,BI406928,Hona
SEP0188993,2020-09-23,7058743,530056,NRM_970,Hona
SEP0188995,2020-09-11,7046283,524111,NRM_710,Hane
SEP0188998,2020-09-07,6972948,569067,BI407349,Hona
SEP0188999,2020-09-12,7055071,522722,NRM_792,Hane
SEP0189209,2020-09-26,7049866,540555,NRM_726,Hane
SEP0189302,2020-09-01,7062462,534633,NRM_1372,Hona
SEP0189328,2020-10-14,7074943,505477,NRM_817,Hona
SEP0189358,2020-10-17,7098452,572498,NRM_1065,Hona
SEP0189408,2020-09-13,7006384,434858,BI407309,Hane
SEP0189439,2020-09-15,7045839,444132,NRM_1283,Hona
SEP0189440,2020-10-06,6878975,478255,NRM_716,Hona
SEP0189442,2020-10-01,6893123,480494,NRM_842,Hane
SEP0189443,2020-08-22,6872143,443724,NRM_1047,Hane
SEP0189444,2020-08-22,6871667,448283,BI040826,Hona
SEP0189448,2020-09-11,6876864,442581,NRM_996,Hona
SEP0189451,2020-09-11,6869606,451572,BI406837,Hona
SEP0189456,2020-09-14,6848760,426183,BI407319,Hona
SEP0189457,2020-10-29,6901260,498945,NRM_804,Hane
SEP0189459,2020-09-02,6901265,514617,BI407281,Hona
SEP0189463,2020-09-27,6870540,497749,NRM_818,Hona
SEP0189465,2020-09-22,6875700,494983,NRM_1041,Hane
SEP0189468,2020-09-29,6901371,498145,NRM_804,Hane
SEP0189473,2020-09-06,6903585,495154,NRM_1500,Hona
SEP0189474,2020-09-06,6883597,501500,BI409227,Hane
SEP0189475,2020-09-07,6901659,493316,NRM_2038,Hona
SEP0189476,2020-08-21,6897940,469030,BI406967,Hona
SEP0189477,2020-09-10,6890974,498081,NRM_1445,Hona
SEP0189480,2020-09-06,6886404,500771,BI409227,Hane
SEP0189483,2020-09-21,6887797,515849,NRM_1266,Hane
SEP0189484,2020-09-15,6905408,502718,NRM_758,Hona
SEP0189487,2020-09-21,6887817,515582,BI406747,Hona
SEP0189488,2020-09-23,6883825,516817,BI080215,Hona
SEP0189491,2020-09-10,6879578,510271,NRM_1272,Hona
SEP0189495,2020-08-22,6871242,462941,BI406763,Hona
SEP0189496,2020-08-31,6891755,512912,NRM_1649,Hane
SEP0189499,2020-09-09,6881594,504365,NRM_1041,Hane
SEP0189502,2020-09-24,6947727,514044,NRM_1043,Hona
SEP0189508,2020-09-20,6950972,531993,BI406665,Hane
SEP0189512,2020-09-29,6987476,539931,NRM_667,Hane
SEP0189513,2020-09-29,6987145,539187,NRM_666,Hona
SEP0189516,2020-09-30,6977183,533116,NRM_667,Hane
SEP0189523,2020-09-11,6948532,516550,NRM_1079,Hane
SEP0189524,2020-08-27,6947017,516046,NRM_1079,Hane
SEP0189527,2020-10-15,6951297,530960,NRM_770,Hane
SEP0189542,2020-09-20,6961024,545200,BI407302,Hona
SEP0189544,2020-09-18,6943171,490964,NRM_949,Hona
SEP0189546,2020-09-24,6964281,545707,BI407302,Hona
SEP0189554,2020-09-08,6960287,508051,BI407355,Hane
SEP0189555,2020-10-13,6955963,560233,BI407129,Hane
SEP0189556,2020-10-18,6952900,554861,NRM_1066,Hane
SEP0189557,2020-09-01,6976304,493405,NRM_663,Hona
SEP0189560,2020-08-22,6949380,500956,NRM_1489,Okänt
SEP0189563,2020-09-20,6961908,489974,NRM_906,Hona
SEP0189565,2020-08-23,6971034,493942,NRM_1197,Hona
SEP0189567,2020-09-10,6972874,492807,NRM_1197,Hona
SEP0189568,2020-10-13,6945202,501128,NRM_613,Hane
SEP0189572,2020-08-25,6954223,488152,NRM_906,Hona
SEP0189577,2020-08-23,6970428,493653,NRM_1197,Hona
SEP0189580,2020-09-15,6943239,492233,NRM_613,Hane
SEP0189583,2020-08-22,6944068,504564,NRM_1079,Hane
SEP0189584,2020-09-14,6956139,492627,BI041095,Hona
SEP0189585,2020-09-10,6942974,500737,NRM_613,Hane
SEP0189588,2020-09-18,6985930,514877,BI407050,Hane
SEP0189589,2020-09-03,6940170,504339,NRM_1146,Hona
SEP0189592,2020-09-23,6948404,502824,NRM_613,Hane
SEP0189594,2020-09-18,7049958,546992,NRM_1202,Hona
SEP0189596,2020-09-13,7029229,510127,NRM_626,Hona
SEP0189601,2020-08-23,7016806,515997,NRM_675,Hane
SEP0189602,2020-09-03,7016427,510704,BI407042,Hona
SEP0189605,2020-09-18,7104494,478840,NRM_849,Hona
SEP0189609,2020-09-27,7093166,494228,NRM_825,Hona
SEP0189611,2020-09-27,7093168,494213,NRM_744,Hona
SEP0189613,2020-09-29,7058883,448870,NRM_668,Hane
SEP0189617,2020-09-06,7022580,499596,BI407167,Hona
SEP0189621,2020-09-20,6997499,476224,NRM_1303,Hane
SEP0189629,2020-10-12,7089693,469924,BI407203,Hane
SEP0189649,2020-09-05,7026846,470347,NRM_1362,Hane
SEP0189660,2020-09-05,7030776,469734,NRM_1362,Hane
SEP0189662,2020-08-25,7043078,466800,BI406897,Hane
SEP0189670,2020-08-22,6905712,490239,BI406897,Hane
SEP0189709,2020-09-12,7091162,470680,NRM_1126,Hane
SEP0189711,2020-10-17,7058156,476343,NRM_664,Hona
SEP0189713,2020-10-16,7089385,470732,BI407041,Hona
SEP0189717,2020-10-16,7088750,471873,NRM_1126,Hane
SEP0189723,2020-10-09,6992763,518173,NRM_670,Hona
SEP0189724,2020-10-28,7006325,518123,BI407289,Hona
SEP0189728,2020-08-25,7099594,468719,NRM_1711,Hane
SEP0189742,2020-09-25,6997045,522395,NRM_669,Hane
SEP0189758,2020-10-12,7000257,520512,NRM_779,Hona
SEP0189770,2020-10-14,7000113,519102,BI407289,Hona
SEP0189773,2020-09-13,7090928,471522,NRM_1126,Hane
SEP0189781,2020-10-12,7001048,522326,NRM_836,Hane
SEP0189790,2020-09-08,7100643,452976,NRM_1321,Hane
SEP0189800,2020-09-08,7060549,509178,NRM_997,Hona
SEP0189819,2020-09-03,7022032,541101,NRM_783,Hona
SEP0189831,2020-09-19,7004372,435272,BI407350,Hona
SEP0189860,2020-08-22,6871698,424451,BI041150,Hona
SEP0189872,2020-08-21,6872731,421308,NRM_1217,Okänt
SEP0189875,2020-09-10,6873203,421872,NRM_1222,Hane
SEP0189889,2020-09-07,7012794,594063,NRM_897,Hane
SEP0189893,2020-09-16,7005022,434798,BI407350,Hona
SEP0189898,2020-08-30,7018721,599804,BI406712,Hona
SEP0189900,2020-08-21,7027249,530651,BI407014,Hona
SEP0189902,2020-08-25,7094786,543165,BI406848,Hona
SEP0189903,2020-08-22,7037401,534424,BI041493,Hane
SEP0189905,2020-09-17,7021154,521785,NRM_620,Hane
SEP0189908,2020-10-06,7013623,521679,NRM_620,Hane
SEP0189921,2020-09-07,7031064,531801,NRM_726,Hane
SEP0189924,2020-09-13,7024276,533166,BI406809,Hane
SEP0189928,2020-08-23,7028833,531165,BI406809,Hane
SEP0189932,2020-09-06,7024721,531114,NRM_620,Hane
SEP0189933,2020-09-03,7058973,485547,BI406928,Hona
SEP0189935,2020-08-22,7037409,534417,BI407187,Hona
SEP0189937,2020-09-09,7028793,532087,BI406809,Hane
SEP0189942,2020-09-18,7012153,523420,NRM_728,Hona
SEP0189943,2020-09-03,7026136,522931,BI406847,Hane
SEP0189945,2020-09-17,7013534,523742,NRM_762,Hane
SEP0189947,2020-09-26,7036896,537511,NRM_726,Hane
SEP0189948,2020-09-17,7013579,523249,NRM_762,Hane
SEP0189950,2020-09-20,7032823,531457,NRM_726,Hane
SEP0189954,2020-09-16,7022662,535350,NRM_620,Hane
SEP0189955,2020-09-14,7025479,531646,NRM_1630,Hona
SEP0189956,2020-09-14,7024154,530440,NRM_1168,Hona
SEP0189957,2020-09-17,7013580,523469,BI407042,Hona
SEP0189958,2020-09-19,7012927,522780,NRM_620,Hane
SEP0189960,2020-09-07,7032774,532387,NRM_726,Hane
SEP0189961,2020-08-23,7038663,535626,NRM_726,Hane
SEP0189962,2020-10-11,7029582,534446,NRM_710,Hane
SEP0189967,2020-10-17,7012479,543490,NRM_760,Hane
SEP0189971,2020-09-24,7016372,520584,BI407042,Hona
SEP0189973,2020-08-21,7032133,533308,BI407187,Hona
SEP0189974,2020-09-19,7026642,526526,BI406809,Hane
SEP0189975,2020-09-27,7022948,533579,BI407014,Hona
SEP0189978,2020-09-19,7030245,537349,NRM_726,Hane
SEP0189982,2020-09-17,7010055,519786,NRM_1223,Hona
SEP0189983,2020-09-11,7009721,524257,BI407042,Hona
SEP0189985,2020-09-11,7010962,524125,NRM_728,Hona
SEP0189986,2020-09-26,7014026,521205,NRM_620,Hane
SEP0189987,2020-09-17,7013415,524058,NRM_762,Hane
SEP0189988,2020-08-22,7036868,534609,BI407187,Hona
SEP0189991,2020-08-29,7033263,534845,NRM_726,Hane
SEP0189993,2020-09-13,7024377,532064,BI406809,Hane
SEP0189995,2020-09-10,6996088,526311,BI080374,Hane
SEP0189997,2020-09-20,7010720,519369,NRM_741,Hane
SEP0189998,2020-09-10,7027467,529295,BI407014,Hona
SEP0189999,2020-09-18,7010183,519730,NRM_762,Hane
SEP0190013,2020-10-03,7005325,516150,NRM_697,Hona
SEP0190027,2020-09-17,6991268,520061,NRM_803,Hane
SEP0190030,2020-10-03,6999791,521332,NRM_719,Hane
SEP0190038,2020-09-21,7002559,519801,NRM_1072,Hane
SEP0190039,2020-09-17,6994982,522226,NRM_670,Hona
SEP0190040,2020-09-26,6993551,519748,NRM_670,Hona
SEP0190041,2020-09-21,7003690,517633,NRM_918,Hona
SEP0190045,2020-09-11,6992614,518185,NRM_719,Hane
SEP0190047,2020-10-03,7005238,516094,NRM_1072,Hane
SEP0190050,2020-10-03,7006304,517492,NRM_697,Hona
SEP0190051,2020-09-21,7000299,524290,NRM_779,Hona
SEP0190061,2020-09-26,6978530,523634,BI407166,Hona
SEP0190064,2020-09-15,7005124,516060,BI407289,Hona
SEP0190065,2020-10-03,6990775,520687,NRM_894,Hona
SEP0190070,2020-09-24,6989404,523278,NRM_803,Hane
SEP0190084,2020-09-19,7009764,513719,NRM_918,Hona
SEP0190086,2020-09-15,7003639,523658,NRM_1078,Hane
SEP0190090,2020-09-15,7004861,516169,BI407289,Hona
SEP0190093,2020-09-18,6997546,526423,NRM_779,Hona
SEP0190098,2020-09-13,7001090,534236,NRM_669,Hane
SEP0190099,2020-09-16,7002785,518364,NRM_918,Hona
SEP0190202,2020-09-10,6887948,423595,BI406919,Hona
SEP0190203,2020-09-10,6887890,423550,NRM_793,Hona
SEP0190204,2020-09-10,6888059,423118,NRM_794,Hona
SEP0190206,2020-10-02,6893918,440119,BI407229,Hona
SEP0190208,2020-09-09,6878685,411577,NRM_795,Hona
SEP0190209,2020-09-09,6889733,419339,BI407128,Hona
SEP0190210,2020-09-22,6882479,427195,NRM_1668,Hona
SEP0190211,2020-09-27,6882378,415612,NRM_826,Hona
SEP0190212,2020-09-19,6881422,415837,NRM_943,Hona
SEP0190214,2020-10-01,6882616,424842,NRM_794,Hona
SEP0190215,2020-09-19,6879400,416590,NRM_944,Hona
SEP0190216,2020-09-10,6889338,425222,BI406919,Hona
SEP0190217,2020-09-10,6889419,425263,BI406919,Hona
SEP0190219,2020-09-19,6894860,437896,NRM_962,Hona
SEP0190220,2020-09-19,6883025,422718,NRM_753,Hane
SEP0190221,2020-09-19,6880220,416183,NRM_1207,Hona
SEP0190222,2020-09-11,6879081,416394,BI407291,Hona
SEP0190223,2020-09-13,6884211,425391,BI406919,Hona
SEP0190224,2020-09-09,6879309,412032,BI406839,Hona
SEP0190225,2020-09-27,6885097,413669,NRM_826,Hona
SEP0190226,2020-09-10,6882082,415936,NRM_826,Hona
SEP0190227,2020-09-07,6892377,422840,NRM_753,Hane
SEP0190229,2020-09-19,6878890,415347,NRM_826,Hona
SEP0190231,2020-09-27,6883919,425073,NRM_753,Hane
SEP0190234,2020-09-20,6882464,426990,NRM_2003,Hane
SEP0190235,2020-10-15,6887986,451259,BI407356,Hane
SEP0190236,2020-10-19,6886226,433790,BI041131,Hona
SEP0190249,2020-09-08,6878985,428237,BI406974,Hona
SEP0190252,2020-09-07,6878213,415829,NRM_888,Hane
SEP0190253,2020-09-08,6877731,416992,BI407291,Hona
SEP0190255,2020-09-02,6887982,426045,NRM_793,Hona
SEP0190256,2020-09-06,6895131,436205,BI407229,Hona
SEP0190257,2020-09-19,6889649,422853,BI406993,Hona
SEP0190262,2020-09-13,6897015,436291,BI407061,Hona
SEP0190270,2020-09-07,6878486,418789,NRM_805,Hona
SEP0190274,2020-09-07,6892903,416153,NRM_1271,Hona
SEP0190275,2020-10-16,6881607,439428,NRM_1068,Hona
SEP0190280,2020-09-07,6886450,427791,NRM_1068,Hona
SEP0190281,2020-09-07,6885986,428996,NRM_1068,Hona
SEP0190282,2020-09-07,6878051,416105,NRM_795,Hona
SEP0190292,2020-09-11,6912222,481620,NRM_1567,Hane
SEP0190298,2020-09-15,6883720,438062,NRM_1068,Hona
SEP0190332,2020-10-01,6920985,487320,NRM_694,Hane
SEP0190353,2020-09-08,6967141,460157,NRM_1315,Hona
SEP0190445,2020-09-08,7091710,455973,NRM_1270,Hane
SEP0190463,2020-08-21,7063889,473266,BI407301,Hona
SEP0190466,2020-08-21,7100476,454649,NRM_1541,Okänt
SEP0190468,2020-09-19,7091179,499443,NRM_744,Hona
SEP0190473,2020-08-21,7091256,463726,NRM_621,Hane
SEP0190478,2020-09-08,7098235,497489,NRM_1322,Hona
SEP0190607,2020-10-04,7130344,510741,NRM_720,Hona
SEP0190616,2020-10-16,7141398,487466,NRM_2030,Hona
SEP0190617,2020-10-16,7141275,487853,BI406963,Hona
SEP0190630,2020-09-22,7136271,488598,NRM_816,Hona
SEP0190635,2020-10-16,7141296,487611,BI406963,Hona
SEP0190661,2020-09-22,7135645,504715,BI407035,Hona
SEP0190686,2020-09-26,7135179,500846,BI407035,Hona
SEP0190700,2020-09-26,7123779,519858,NRM_1342,Hane
SEP0190724,2020-08-21,7140392,513932,BI406834,Hona
SEP0190725,2020-09-18,7137265,515939,NRM_1343,Hona
SEP0190728,2020-10-08,7060726,546874,BI407159,Hona
SEP0190740,2020-10-13,7148984,506806,NRM_969,Hona
SEP0190748,2020-09-18,7145733,506951,NRM_1183,Hona
SEP0190751,2020-08-21,7156346,519782,BI406861,Hona
SEP0190753,2020-08-24,7131881,518711,BI407191,Hona
SEP0190756,2020-09-30,7094592,519855,NRM_1147,Hona
SEP0190770,2020-09-03,7156652,518164,NRM_1456,Hane
SEP0190772,2020-09-14,7123254,530179,NRM_1135,Hona
SEP0190777,2020-10-13,7150687,507903,NRM_969,Hona
SEP0190778,2020-09-08,7128117,521281,NRM_1323,Hona
SEP0190781,2020-08-23,7129544,517284,BI407191,Hona
SEP0190785,2020-09-11,7145962,520782,BI406834,Hona
SEP0190792,2020-08-22,7125942,518579,NRM_1483,Okänt
SEP0190794,2020-09-01,7124971,521836,BI407191,Hona
SEP0190820,2020-09-08,6979874,461153,BI407228,Hona
SEP0190826,2020-09-10,6978212,464221,BI407228,Hona
SEP0190830,2020-08-26,6983115,457954,BI406882,Hane
SEP0190831,2020-09-14,6949574,510388,NRM_608,Hona
SEP0190845,2020-09-30,6973041,460013,BI406882,Hane
SEP0190846,2020-09-08,6941270,465593,NRM_1732,Hona
SEP0190850,2020-09-08,6984413,456421,BI407228,Hona
SEP0190853,2020-10-17,7045667,621135,NRM_1127,Hona
SEP0190855,2020-09-09,6974389,462881,BI406882,Hane
SEP0190857,2020-09-04,6982524,461037,NRM_1521,Hona
SEP0190858,2020-09-17,6975253,462825,NRM_1160,Hane
SEP0190860,2020-09-14,6974256,458770,BI407228,Hona
SEP0190862,2020-09-13,6941282,472803,BI407184,Hona
SEP0190869,2020-09-09,6968040,451701,NRM_1315,Hona
SEP0190872,2020-09-11,6972889,462313,BI414857,Hane
SEP0190878,2020-09-08,6940980,472746,NRM_863,Hona
SEP0190879,2020-09-09,6972927,460392,BI406882,Hane
SEP0190890,2020-09-17,6942621,488580,BI407331,Hane
SEP0190899,2020-09-10,6989005,452190,NRM_784,Hane
SEP0190901,2020-09-04,6958700,540697,BI407247,Hona
SEP0190905,2020-09-12,6955770,541753,BI407355,Hane
SEP0190916,2020-08-26,6977833,417484,NRM_2034,Hona
SEP0190920,2020-08-23,6967047,466602,NRM_622,Hane
SEP0190922,2020-08-28,6966361,463782,BI406882,Hane
SEP0190935,2020-08-28,7084572,475067,NRM_1071,Hona
SEP0190940,2020-09-02,6992320,483534,BI407059,Hona
SEP0190947,2020-09-19,7106008,489430,NRM_1208,Hona
SEP0190964,2020-10-28,6961982,457681,NRM_622,Hane
SEP0190968,2020-09-12,6955982,463068,NRM_1160,Hane
SEP0190972,2020-09-18,6951415,465238,BI409256,Hane
SEP0190983,2020-09-19,6947881,458695,NRM_1144,Hona
SEP0190984,2020-08-27,6966262,463088,BI406882,Hane
SEP0190985,2020-10-15,6958198,539328,BI407247,Hona
SEP0191005,2020-09-12,7057821,497965,NRM_907,Hona
SEP0191008,2020-09-07,7057144,487768,NRM_922,Hona
SEP0191013,2020-08-23,7061337,488225,NRM_1270,Hane
SEP0191018,2020-09-07,7062501,493246,BI406962,Hane
SEP0191019,2020-08-25,7059977,486930,NRM_922,Hona
